TPIB_G2	<-- -->	3PD Logistics Solutions - Basic Service
TPIB_09	<-- -->	3PD Logistics Solutions - Delivery and Install
TPIB_DS	<-- -->	3PD Logistics Solutions - Threshold Service
ANBS_G2	<-- -->	A&B Courier - Basic Service
ANBS_CG	<-- -->	A&B Courier - Ground
ANBS_DS	<-- -->	A&B Courier - Threshold Service
PYLR	<-- -->	A. Duie Pyle Inc.
PYLR_SE	<-- -->	A. Duie Pyle Inc. - 2nd Day
PYLR_ND	<-- -->	A. Duie Pyle Inc. - Next Day
PYLR_DS	<-- -->	A. Duie Pyle Inc. - Threshold Service
ABFS	<-- -->	ABF
ABFS_SE	<-- -->	ABF - 2nd Day
ABFS_G2	<-- -->	ABF - Basic Service
ABFS_09	<-- -->	ABF - Delivery and Install
ACOC_G2	<-- -->	ACS Inc. - Basic Service
ACOC_09	<-- -->	ACS Inc. - Delivery and Install
ACOC_DS	<-- -->	ACS Inc. - Threshold Service
AIRB_ND	    -->	Airborne Freight Corp - Overnight Express
AGRP_G2	<-- -->	Airgroup Express - Basic Service
AGRP_09	<-- -->	Airgroup Express - Delivery and Install
AGRP_DS	<-- -->	Airgroup Express - Threshold Service
AITW_G2	<-- -->	AIT Worldwide Logistics - Basic Service
AITW_09	<-- -->	AIT Worldwide Logistics - Delivery and Install
AITW_DS	<-- -->	AIT Worldwide Logistics - Threshold Service
TWMC_G2	<-- -->	Alero Wordwide - Basic Service
TWMC_09	<-- -->	Alero Wordwide - Delivery and Install
TWMC_DS	<-- -->	Alero Wordwide - Threshold Service
AAIE_G2	<-- -->	ALG Worldwide Logistics - Basic Service
AAIE_09	<-- -->	ALG Worldwide Logistics - Delivery and Install
AAIE_DS	<-- -->	ALG Worldwide Logistics - Threshold Service
ASAQ_G2	<-- -->	Allstates Worldcargo - Basic Service
ASAQ_09	<-- -->	Allstates Worldcargo - Delivery and Install
ASAQ_DS	<-- -->	Allstates Worldcargo - Threshold Service
AFMI	<-- -->	Alto Freight
AEWS_CG	<-- -->	American West - Ground
AAUE	<-- -->	Andlauer Transportation Services
AMEX	<-- -->	Apex Motor Express Ltd.
AVRT	<-- -->	Averitt Express
AVRT_G2	<-- -->	Averitt Express - Basic Service
BMGI_G2	<-- -->	Beltmann Logistics - Basic Service
BMGI_09	<-- -->	Beltmann Logistics - Delivery and Install
BTVP	<-- -->	Best Overnite
BTVP_G2	<-- -->	Best Overnite - Basic Service
BEST	<-- -->	Bestar
BVLL_09	<-- -->	Brewer VanLine Logistics - Deliver and Install
BVLL_DS	<-- -->	Brewer VanLine Logistics - Threshold Service
BVLL_G2	<-- -->	Brewer VanLine Logistics Inc.
BTGD	<-- -->	Bullet Trucking, Inc.
RBTW	<-- -->	C.H. Robinson Worldwide Inc.
RBTW_SE	<-- -->	C.H. Robinson Worldwide Inc. - 2nd Day
CAOE	<-- -->	California Overnight
CAOE_SE	<-- -->	California Overnight - 2nd Day
CAOE_ND	<-- -->	California Overnight - Next Day
CG	<-- -->	Canada Post - Expedited Parcel
CG_SE	<-- -->	Canada Post - Xpresspost
CFWL_G2	<-- -->	Canadian Freightways - Basic Service
CNPL	<-- -->	Canpar
CNPL_SE	<-- -->	Canpar - 2nd Day
CXNM_G2	<-- -->	Carter Transporation - Basic Service
CENF	<-- -->	Central Freight Lines
CETR	<-- -->	Central Transport Inc.
CEVA_G2	<-- -->	CEVA Logistics - Basic Service
CEVA_09	<-- -->	CEVA Logistics - Delivery and Install
CEVA_DS	<-- -->	CEVA Logistics - Threshold Service
CTQH_G2	<-- -->	Champion Logistics - Basic Service 
CTQH_09	<-- -->	Champion Logistics - Delivery and Install
CTQH_DS	<-- -->	Champion Logistics - Threshold Service
CLKE	<-- -->	Clarke Transport
CEGW_SE	<-- -->	Continental Freightways - 2nd Day
CWCE	<-- -->	Conway
CWCE_SE	<-- -->	Conway - 2nd Day
MLCT_G2	<-- -->	Crane Worldwide - Basic Service
MLCT_09	<-- -->	Crane Worldwide - Delivery and Install
MLCT_DS	<-- -->	Crane Worldwide - Threshold Service
CFNS	<-- -->	Custom Freight Systems, Inc.
CGLY_DS	<-- -->	Custom Global Logistics - Threshold Service
DTST	<-- -->	DATS Trucking Inc.
DAYR	<-- -->	Day & Ross
DYLT	<-- -->	Daylight Transport
DAFG	<-- -->	Dayton Freight
SIFF_G2	<-- -->	DB Schenker - Basic Service
SIFF_09	<-- -->	DB Schenker - Delivery and Install
SIFF_DS	<-- -->	DB Schenker - Threshold Service
DPHE	<-- -->	Dependable Highway Express
DPHE_G2	<-- -->	Dependable Highway Express - Basic Service
DHL_SE	<-- -->	DHL Shipping - 2nd Day Air
DHL_CG	<-- -->	DHL Shipping - Ground
DHL_ND	<-- -->	DHL Shipping - Next Day Air
RDMD	<-- -->	Diamond Delivery
SETP_G2	<-- -->	Direct Shippers - Basic Service
DHRN	<-- -->	Dohrn Transfer Co.
EGLE_G2	<-- -->	Eagle Freight - Basic Service
EGLE_09	<-- -->	Eagle Freight - Delivery and Install
EAGL_DS	<-- -->	Eagle Freight - Threshold Service
ECHS_G2	<-- -->	Echo Global Logistics - Basic Service
ECHS_09	<-- -->	Echo Global Logistics - Delivery and Install
ECHS_DS	<-- -->	Echo Global Logistics - Threshold Service
EPCE	<-- -->	Epic Express
EXLA	<-- -->	Estes Express Lines
EXLA_SE	<-- -->	Estes Express Lines - 2nd Day
EXLA_G2	<-- -->	Estes Express Lines - Basic Service
EXLA_09	<-- -->	Estes Express Lines - Delivery and Install
EXLA_DS	<-- -->	Estes Express Lines - Threshold Service
EFWW_G2	<-- -->	Estes Forwarding Worldwide - Basic Service
EFWW_09	<-- -->	Estes Forwarding Worldwide - Delivery and Install
EFWW_DS	<-- -->	Estes Forwarding Worldwide - Threshold Service
ELGS_G2	<-- -->	Exel Logistics - Basic Service
ELGS_09	<-- -->	Exel Logistics - Delivery and Install
ELGS_DS	<-- -->	Exel Logistics - Threshold Service
EXDO	<-- -->	Expeditor's International of Washington
EXNS	<-- -->	Express Transport
EXNS_SE	<-- -->	Express Transport - 2nd Day
FMTP_G2	<-- -->	Farmore Transportation Services - Basic Service
FMTP_DS	<-- -->	Farmore Transportation Services -Threshold Service
FASC	<-- -->	Fastfrate
FASC_G2	<-- -->	Fastfrate - Basic Service
FASC_09	<-- -->	Fastfrate - Delivery and Install
FASC_DS	<-- -->	Fastfrate - Threshold Service
FSTK_G2	<-- -->	Fastrek - Basic Service
FSTK_DS	<-- -->	Fastrek - Threshold Service
FDLG_DS	<-- -->	Federal Logistics, Inc. - Threshold Service
FEDX_SE	<-- -->	Fedex 2nd Day
FEDF	<-- -->	FEDEX Freight
FXFC	<-- -->	Fedex Freight Canada
FEDX_CG	<-- -->	Fedex Ground
FEDX_09	<-- -->	FEDEX Home Service
FDE_IE	<-- -->	FEDEX International Economy
FDE_SG	<-- -->	FEDEX International Ground
FDE_IX	<-- -->	FEDEX International Priority
FXNL	<-- -->	Fedex National LTL
FEDX_ND	<-- -->	Fedex Next Day
FXSP	<-- -->	Fedex SmartPost
FEDX_3D	<-- -->	Fedex Three Day
FSCF_G2	<-- -->	Frontier Supply Chain Solutions - Basic
FSCF_09	<-- -->	Frontier Supply Chain Solutions - Install
FSCF_DS	<-- -->	Frontier Supply Chain Solutions - Threshold
GCMP	<-- -->	Genwest
GLLD	<-- -->	Glenncoe Transport
GELJ	<-- -->	Globaltranz
GBCF_G2	<-- -->	GlobeCon Freight Systems - Basic Service
GBCF_09	<-- -->	GlobeCon Freight Systems - Deliver and Install
GBCF_DS	<-- -->	GlobeCon Freight Systems - Threshold Service
GLDI	<-- -->	Glova-Link Distribution
GLDI_G2	<-- -->	Glova-Link Distribution - Basic Service
GFXP_DS	<-- -->	Ground Freight Expeditors - Threshold Service
HLGR_G2	<-- -->	Harrah Logistics - Basic Service
HLGR_09	<-- -->	Harrah Logistics - Delivery and Install
HLGR_DS	<-- -->	Harrah Logistics - Threshold Service
POLN	<-- -->	Hellman Worldwide Logistics
HDIR_G2	<-- -->	HEP Direct - Basic Service
HDIR_09	<-- -->	HEP Direct - Delivery and Install
HDIR_DS	<-- -->	HEP Direct - Threshold Service
HRCF_G2	<-- -->	Hercules Freight - Basic Service
HRCF_09	<-- -->	Hercules Freight - Delivery and Install
HRCF_DS	<-- -->	Hercules Freight - Threshold Service
HWDQ_G2	<-- -->	Hollywood Delivery Services - Basic Service
BEKN_G2	<-- -->	Home Direct USA - Basic Service
BEKN_09	<-- -->	Home Direct USA - Premium (White Glove)
BEKN_DS	<-- -->	Home Direct USA - Threshold Service
HJBT_G2	<-- -->	JB Hunt - Basic Service
HJBT_09	<-- -->	JB Hunt - Delivery and Install
HJBT_DS	<-- -->	JB Hunt - Threshold Service
KLIQ_G2	<-- -->	Kansas Logistics - Basic Service
KIDY	<-- -->	Kindersley Transport
KIDY_G2	<-- -->	Kindersley Transport - Basic Service
KTAI_G2	<-- -->	Kingsway Transport - Basic Service
KTAI_09	<-- -->	Kingsway Transport - Delivery and Install
KTAI_DS	<-- -->	Kingsway Transport - Threshold Service
KKWQ	<-- -->	KKW Trucking, Inc.
KKWQ_G2	<-- -->	KKW Trucking, Inc. - Basic Service
LKVL	<-- -->	Lakeville Motor Express, Inc.
LIGS_G2	<-- -->	Landstar - Basic Service
LIGS_09	<-- -->	Landstar - Delivery and Install
LMEF_G2	<-- -->	Loomis Express - Basic Service
LTL	<--	LTL (service unspecified)
LTL_G2	<--	LTL Basic Service
LTL_DS	<--	LTL Threshold Service
LTL_09	<--	LTL White Glove
LYAF_SE	<-- -->	Lynden Transport 2 Day Saver
LYAF_G2	<-- -->	Lynden Transport Curbside Delivery
LYAF_ND	<-- -->	Lynden Transport Next Day Priority
LTIA_DS	<-- -->	Lynden Transport Threshold Service
LTIA_09	<-- -->	Lynden White Glove
MFRC_G2	<-- -->	Mainfreight - Basic Service
MFRC_09	<-- -->	Mainfreight - Delivery and Install
MFRC_DS	<-- -->	Mainfreight - Threshold Service
MYRY_G2	<-- -->	Mallory Alexander - Basic Service
MYRY_09	<-- -->	Mallory Alexander - Delivery and Install
MANI_G2	<-- -->	Manitoulin Transport - Basic Service
MANI_09	<-- -->	Manitoulin Transport - Delivery and Install
MANI_DS	<-- -->	Manitoulin Transport - Threshold Service
MFSY	<-- -->	Manna Distribution Services
